TICKER,CNAME,ACTDATS,ESTIMATOR,ANALYS,FPI,MEASURE,VALUE,ANNDATS,REVDATS,FPEDATS,ANNDATS_ACT,ACTUAL
AAPL,APPLE COMPUTER,19950918,210,71682,6,EPS,0.0055,19950918,19960417,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950918,183,4684,6,EPS,0.0025,19950918,19960418,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950918,232,740,6,EPS,0.0045,19950918,19960419,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950918,211,4299,6,EPS,0.0045,19950918,19960419,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950918,125,8487,6,EPS,0.0045,19950918,19960419,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950918,7,6867,6,EPS,0.0031,19950918,19960419,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950919,933,9514,6,EPS,0.0048,19950919,19960417,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950919,37,9236,6,EPS,0.0036,19950919,19960418,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950919,189,5668,6,EPS,0.0054,19950919,19960419,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950920,142,54,6,EPS,0.004,19950920,19960417,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950920,308,677,6,EPS,0.0045,19950920,19960419,19950930,19951018,0.0043
AAPL,APPLE COMPUTER,19950920,191,9834,6,EPS,0.0041,19950920,19960419,19950930,19951018,0.0043
